id,area,centroid,rectangle
123,664,"(728, 115)","((717, 98), (743, 137))"
124,2,"(963, 98)","((963, 98), (964, 100))"
125,32,"(114, 102)","((111, 101), (119, 106))"
126,360,"(397, 110)","((384, 103), (415, 120))"
127,69,"(428, 105)","((423, 102), (434, 110))"
128,82,"(311, 110)","((307, 105), (316, 116))"
129,94,"(859, 107)","((851, 104), (867, 113))"
130,49,"(915, 107)","((912, 104), (920, 112))"
131,22,"(59, 108)","((56, 107), (64, 110))"
132,173,"(596, 113)","((590, 107), (606, 122))"
133,8,"(68, 109)","((67, 109), (71, 111))"
134,65,"(702, 112)","((698, 108), (707, 118))"
135,8,"(160, 110)","((159, 110), (163, 112))"
136,27,"(175, 111)","((172, 110), (181, 114))"
137,83,"(260, 115)","((254, 111), (267, 121))"
138,195,"(370, 117)","((362, 111), (380, 125))"
139,514,"(631, 124)","((617, 111), (647, 137))"
140,309,"(676, 119)","((666, 111), (688, 130))"
141,54,"(900, 114)","((895, 111), (906, 118))"
142,130,"(944, 116)","((937, 111), (952, 123))"
143,1787,"(30, 136)","((0, 112), (54, 164))"
144,187,"(806, 121)","((797, 112), (815, 133))"
145,102,"(104, 120)","((100, 114), (110, 128))"
146,152,"(122, 123)","((116, 114), (129, 132))"
147,383,"(287, 128)","((274, 116), (304, 139))"
148,58,"(537, 120)","((534, 117), (544, 125))"
149,8,"(164, 118)","((163, 118), (167, 120))"
150,8,"(247, 119)","((246, 119), (250, 121))"
151,13,"(269, 119)","((267, 118), (272, 121))"
152,32,"(787, 121)","((785, 119), (792, 125))"
153,91,"(81, 126)","((77, 121), (88, 132))"
154,13,"(217, 123)","((215, 122), (220, 125))"
155,13,"(350, 125)","((348, 124), (353, 127))"
156,33,"(488, 127)","((486, 125), (493, 131))"
157,18,"(889, 125)","((887, 124), (893, 128))"
158,58,"(219, 128)","((212, 126), (227, 133))"
159,104,"(854, 131)","((849, 126), (861, 138))"
160,8,"(574, 128)","((573, 128), (577, 130))"
161,78,"(927, 131)","((921, 128), (935, 135))"
162,74,"(577, 135)","((572, 131), (583, 140))"
163,97,"(798, 135)","((791, 131), (806, 141))"
164,14,"(96, 134)","((94, 133), (100, 136))"
165,40,"(438, 134)","((435, 132), (443, 138))"
166,157,"(106, 141)","((100, 135), (115, 150))"
167,78,"(769, 138)","((764, 135), (776, 144))"
168,2,"(963, 134)","((963, 134), (964, 136))"
169,19,"(157, 138)","((155, 137), (161, 141))"
170,140,"(190, 144)","((185, 137), (196, 154))"
171,80,"(255, 139)","((249, 137), (264, 145))"
172,35,"(479, 139)","((475, 137), (484, 142))"
173,31,"(888, 139)","((885, 137), (893, 143))"
174,126,"(67, 144)","((61, 139), (76, 152))"
175,660,"(82, 156)","((59, 138), (101, 175))"
176,8,"(464, 139)","((463, 139), (467, 141))"
177,160,"(504, 146)","((497, 139), (512, 155))"
178,23,"(608, 140)","((605, 139), (612, 143))"
179,18,"(752, 139)","((750, 138), (756, 142))"
180,60,"(402, 143)","((398, 140), (408, 148))"
181,380,"(955, 153)","((943, 141), (964, 179))"
182,69,"(922, 146)","((918, 143), (929, 152))"
183,8,"(377, 145)","((376, 145), (380, 147))"
184,22,"(717, 146)","((714, 145), (721, 149))"
185,114,"(900, 151)","((893, 147), (910, 157))"
186,19,"(571, 150)","((569, 149), (575, 153))"
187,83,"(275, 154)","((268, 150), (284, 160))"
188,30,"(548, 153)","((546, 151), (553, 157))"
189,64,"(617, 153)","((614, 150), (623, 159))"
190,195,"(170, 161)","((163, 153), (178, 172))"
191,73,"(225, 159)","((219, 155), (231, 164))"
192,8,"(338, 154)","((337, 154), (341, 156))"
193,13,"(539, 155)","((537, 154), (542, 157))"
194,13,"(920, 155)","((918, 154), (923, 157))"
195,10,"(2, 157)","((0, 157), (5, 159))"
196,99,"(519, 160)","((510, 157), (529, 165))"
197,8,"(10, 158)","((9, 158), (13, 160))"
198,8,"(531, 159)","((530, 159), (534, 161))"
199,24,"(924, 161)","((922, 159), (928, 164))"
200,174,"(375, 166)","((367, 161), (385, 174))"
201,14,"(771, 161)","((768, 161), (775, 163))"
202,13,"(790, 162)","((788, 161), (793, 164))"
203,6,"(1, 162)","((0, 162), (3, 164))"
204,729,"(215, 185)","((198, 162), (235, 210))"
205,52,"(627, 167)","((624, 163), (632, 172))"
206,74,"(725, 166)","((722, 162), (731, 172))"
207,133,"(748, 169)","((743, 163), (756, 176))"
208,189,"(852, 169)","((840, 163), (864, 177))"
209,36,"(907, 164)","((904, 162), (912, 168))"
210,6,"(1, 165)","((0, 165), (3, 167))"
211,13,"(193, 165)","((191, 164), (196, 167))"
212,65,"(528, 168)","((524, 164), (535, 175))"
213,82,"(941, 169)","((936, 165), (949, 174))"
214,8,"(263, 166)","((262, 166), (266, 168))"
215,8,"(275, 166)","((274, 166), (278, 168))"
216,13,"(596, 167)","((594, 166), (599, 169))"
217,485,"(655, 179)","((638, 167), (674, 193))"
218,1049,"(697, 190)","((675, 167), (720, 212))"
219,6,"(1, 168)","((0, 168), (3, 170))"
220,23,"(801, 170)","((799, 169), (806, 173))"
221,8,"(873, 168)","((872, 168), (876, 170))"
222,6,"(1, 171)","((0, 171), (3, 173))"
223,212,"(50, 177)","((41, 171), (62, 184))"
224,27,"(247, 171)","((245, 170), (252, 175))"
225,98,"(456, 176)","((450, 171), (463, 182))"
226,194,"(561, 175)","((552, 170), (571, 184))"
227,8,"(595, 170)","((594, 170), (598, 172))"
228,34,"(828, 172)","((825, 171), (834, 176))"
229,481,"(181, 183)","((168, 172), (195, 198))"
230,13,"(628, 174)","((626, 173), (631, 176))"
231,198,"(785, 177)","((772, 172), (799, 185))"
232,6,"(1, 174)","((0, 174), (3, 176))"
233,6,"(1, 177)","((0, 177), (3, 179))"
234,226,"(249, 184)","((241, 176), (259, 194))"
235,23,"(592, 178)","((590, 177), (597, 181))"
236,312,"(289, 189)","((281, 178), (299, 201))"
237,309,"(362, 191)","((354, 179), (372, 206))"
238,19,"(902, 180)","((900, 179), (906, 183))"
239,71,"(271, 184)","((267, 181), (277, 190))"
240,54,"(607, 184)","((602, 181), (613, 189))"
241,284,"(19, 195)","((11, 183), (28, 209))"
242,43,"(117, 185)","((113, 183), (123, 189))"
243,100,"(619, 188)","((615, 183), (626, 196))"
244,405,"(154, 197)","((145, 185), (170, 212))"
245,159,"(862, 191)","((855, 185), (870, 200))"
246,231,"(53, 193)","((44, 186), (65, 203))"
247,24,"(333, 188)","((331, 187), (337, 192))"
248,238,"(585, 193)","((575, 186), (597, 201))"
249,32,"(786, 189)","((782, 187), (791, 192))"
250,13,"(99, 190)","((97, 189), (102, 192))"
251,144,"(551, 195)","((544, 189), (559, 203))"
252,82,"(3, 198)","((0, 193), (10, 204))"
253,153,"(748, 199)","((741, 193), (757, 207))"
254,228,"(126, 203)","((119, 196), (136, 213))"
255,304,"(498, 204)","((488, 196), (511, 214))"
256,306,"(889, 205)","((878, 196), (902, 216))"
257,19,"(447, 199)","((445, 198), (451, 202))"
258,42,"(188, 202)","((184, 200), (194, 205))"
259,163,"(932, 207)","((924, 200), (940, 216))"
260,2,"(963, 200)","((963, 200), (964, 202))"
261,250,"(182, 210)","((169, 202), (196, 221))"
262,13,"(561, 205)","((559, 204), (564, 207))"
263,70,"(847, 208)","((842, 204), (855, 213))"
264,8,"(195, 207)","((194, 207), (198, 209))"
265,38,"(346, 212)","((344, 209), (351, 216))"
266,76,"(360, 213)","((356, 209), (367, 219))"
267,8,"(820, 209)","((819, 209), (823, 211))"
268,284,"(646, 218)","((635, 210), (658, 229))"
269,91,"(415, 216)","((409, 212), (422, 221))"
270,13,"(562, 213)","((560, 212), (565, 215))"
271,18,"(729, 213)","((727, 212), (733, 216))"
272,210,"(268, 223)","((260, 215), (279, 232))"
273,43,"(525, 217)","((521, 215), (530, 221))"
274,70,"(595, 217)","((590, 215), (602, 223))"
275,8,"(614, 214)","((613, 214), (617, 216))"
276,135,"(807, 219)","((800, 214), (817, 226))"
277,81,"(626, 219)","((620, 216), (634, 224))"
278,18,"(831, 217)","((829, 216), (836, 219))"
279,26,"(934, 219)","((931, 218), (939, 222))"
280,30,"(211, 223)","((208, 221), (216, 226))"
281,18,"(372, 221)","((369, 221), (376, 224))"
282,37,"(426, 225)","((422, 222), (431, 229))"
283,61,"(1, 233)","((0, 225), (4, 242))"
284,36,"(9, 226)","((6, 224), (14, 230))"
285,282,"(957, 240)","((949, 224), (964, 253))"
286,142,"(738, 233)","((732, 227), (746, 241))"
287,175,"(360, 235)","((352, 229), (369, 245))"
288,291,"(461, 240)","((454, 228), (469, 254))"
289,54,"(878, 232)","((874, 229), (884, 236))"
290,166,"(169, 241)","((162, 233), (181, 251))"
291,27,"(310, 235)","((307, 233), (314, 238))"
292,14,"(498, 233)","((496, 232), (502, 235))"
293,367,"(931, 245)","((923, 233), (942, 261))"
294,139,"(39, 239)","((30, 235), (49, 245))"
295,69,"(195, 239)","((191, 235), (201, 244))"
296,44,"(711, 238)","((708, 235), (716, 242))"
297,29,"(328, 238)","((326, 236), (332, 242))"
298,56,"(420, 240)","((416, 237), (426, 245))"
299,141,"(523, 244)","((516, 236), (531, 252))"
300,22,"(637, 238)","((634, 237), (641, 241))"
301,100,"(815, 240)","((809, 237), (823, 246))"
302,24,"(576, 241)","((574, 239), (580, 244))"
303,174,"(867, 248)","((859, 238), (875, 258))"
304,289,"(239, 248)","((231, 241), (252, 260))"
305,8,"(266, 241)","((265, 241), (269, 243))"
306,22,"(499, 241)","((496, 240), (503, 244))"
307,6,"(1, 243)","((0, 243), (3, 245))"
308,102,"(410, 248)","((406, 243), (418, 255))"
309,64,"(323, 249)","((319, 245), (329, 256))"
310,13,"(905, 245)","((903, 244), (908, 247))"
311,6,"(1, 246)","((0, 246), (3, 248))"
312,16,"(102, 248)","((100, 247), (105, 251))"
313,109,"(19, 252)","((14, 248), (27, 259))"
314,8,"(52, 248)","((51, 248), (55, 250))"
315,8,"(598, 248)","((597, 248), (601, 250))"
316,67,"(624, 257)","((619, 253), (631, 261))"
317,649,"(126, 268)","((110, 254), (141, 287))"
318,55,"(149, 258)","((145, 255), (155, 263))"
319,13,"(291, 256)","((289, 255), (294, 258))"
320,106,"(543, 258)","((536, 254), (553, 264))"
321,98,"(207, 260)","((201, 257), (215, 266))"
322,8,"(487, 257)","((486, 257), (490, 259))"
323,35,"(705, 259)","((702, 256), (709, 263))"
324,46,"(817, 260)","((814, 257), (821, 265))"
325,28,"(791, 259)","((787, 258), (796, 262))"
326,35,"(160, 262)","((157, 260), (165, 266))"
327,62,"(471, 264)","((467, 261), (478, 269))"
328,13,"(667, 261)","((665, 260), (670, 263))"
329,13,"(844, 261)","((842, 260), (847, 263))"
330,13,"(296, 263)","((294, 262), (299, 265))"
331,58,"(740, 266)","((736, 263), (747, 270))"
332,367,"(72, 281)","((63, 264), (87, 298))"
333,190,"(92, 269)","((81, 265), (103, 277))"
334,86,"(150, 269)","((146, 265), (157, 275))"
335,638,"(182, 283)","((164, 265), (199, 304))"
336,8,"(416, 265)","((415, 265), (419, 267))"
337,8,"(542, 265)","((541, 265), (545, 267))"
338,8,"(801, 264)","((800, 264), (804, 266))"
339,19,"(41, 267)","((39, 266), (45, 270))"
340,440,"(830, 280)","((819, 266), (848, 296))"
