id,area,centroid,rectangle
123,19,"(132, 115)","((130, 114), (136, 118))"
124,8,"(158, 115)","((157, 115), (161, 117))"
125,13,"(182, 116)","((180, 115), (185, 118))"
126,163,"(197, 124)","((191, 114), (203, 135))"
127,8,"(870, 114)","((869, 114), (873, 116))"
128,22,"(379, 118)","((376, 117), (383, 121))"
129,8,"(807, 117)","((806, 117), (810, 119))"
130,177,"(159, 123)","((148, 118), (171, 131))"
131,167,"(847, 124)","((839, 119), (858, 132))"
132,10,"(2, 121)","((0, 121), (5, 123))"
133,361,"(108, 131)","((97, 120), (120, 145))"
134,8,"(359, 121)","((358, 121), (362, 123))"
135,43,"(486, 122)","((483, 120), (492, 126))"
136,448,"(892, 139)","((883, 121), (904, 158))"
137,135,"(913, 128)","((907, 121), (921, 137))"
138,306,"(79, 132)","((69, 123), (96, 142))"
139,131,"(134, 127)","((125, 122), (143, 133))"
140,192,"(212, 132)","((206, 123), (222, 141))"
141,196,"(774, 132)","((767, 125), (784, 140))"
142,232,"(831, 141)","((826, 125), (839, 154))"
143,14,"(342, 128)","((340, 127), (346, 130))"
144,45,"(400, 130)","((395, 129), (408, 134))"
145,119,"(36, 138)","((30, 133), (46, 145))"
146,96,"(935, 137)","((931, 133), (942, 144))"
147,573,"(366, 146)","((346, 135), (392, 159))"
148,51,"(469, 137)","((466, 135), (475, 142))"
149,53,"(185, 140)","((180, 137), (191, 144))"
150,8,"(449, 139)","((448, 139), (452, 141))"
151,144,"(544, 144)","((538, 139), (553, 152))"
152,76,"(167, 144)","((161, 141), (175, 149))"
153,65,"(567, 144)","((563, 141), (574, 149))"
154,34,"(128, 146)","((125, 145), (134, 150))"
155,46,"(315, 147)","((313, 144), (321, 152))"
156,384,"(759, 158)","((749, 145), (771, 173))"
157,507,"(265, 161)","((254, 147), (280, 177))"
158,47,"(800, 151)","((796, 148), (805, 155))"
159,285,"(952, 156)","((942, 148), (963, 166))"
160,199,"(418, 156)","((409, 150), (430, 164))"
161,8,"(928, 152)","((927, 152), (931, 154))"
162,60,"(120, 159)","((116, 155), (125, 164))"
163,54,"(193, 158)","((189, 155), (199, 162))"
164,18,"(555, 155)","((552, 155), (559, 158))"
165,161,"(151, 162)","((143, 156), (161, 169))"
166,381,"(74, 167)","((61, 159), (89, 179))"
167,19,"(702, 160)","((700, 159), (706, 163))"
168,36,"(733, 161)","((730, 159), (738, 165))"
169,8,"(823, 158)","((822, 158), (826, 160))"
170,22,"(209, 162)","((206, 161), (213, 165))"
171,8,"(283, 161)","((282, 161), (286, 163))"
172,19,"(326, 162)","((324, 161), (330, 165))"
173,18,"(505, 162)","((503, 161), (510, 164))"
174,253,"(727, 169)","((714, 162), (744, 177))"
175,8,"(49, 164)","((48, 164), (52, 166))"
176,57,"(430, 167)","((426, 164), (436, 172))"
177,8,"(568, 164)","((567, 164), (571, 166))"
178,177,"(578, 173)","((570, 167), (588, 181))"
179,1865,"(642, 187)","((617, 166), (676, 218))"
180,8,"(567, 168)","((566, 168), (570, 170))"
181,13,"(605, 170)","((603, 169), (608, 172))"
182,136,"(796, 174)","((789, 169), (805, 181))"
183,64,"(125, 174)","((121, 170), (130, 179))"
184,232,"(870, 177)","((859, 171), (885, 185))"
185,132,"(201, 180)","((196, 172), (209, 188))"
186,35,"(913, 176)","((911, 174), (917, 181))"
187,36,"(327, 181)","((323, 179), (332, 185))"
188,285,"(108, 189)","((97, 180), (121, 198))"
189,8,"(366, 180)","((365, 180), (369, 182))"
190,331,"(412, 187)","((394, 181), (431, 198))"
191,69,"(458, 185)","((453, 181), (464, 190))"
192,116,"(3, 191)","((0, 183), (10, 198))"
193,18,"(789, 183)","((787, 182), (793, 186))"
194,665,"(935, 191)","((916, 182), (958, 204))"
195,2,"(963, 182)","((963, 182), (964, 184))"
196,8,"(256, 185)","((255, 185), (259, 187))"
197,178,"(289, 190)","((281, 185), (299, 198))"
198,8,"(703, 185)","((702, 185), (706, 187))"
199,389,"(721, 194)","((707, 186), (738, 204))"
200,31,"(35, 191)","((32, 189), (40, 194))"
201,221,"(309, 201)","((301, 189), (318, 212))"
202,2,"(963, 188)","((963, 188), (964, 190))"
203,8,"(184, 191)","((183, 191), (187, 193))"
204,354,"(373, 198)","((354, 190), (389, 209))"
205,2851,"(820, 229)","((789, 191), (851, 260))"
206,14,"(961, 193)","((960, 191), (964, 196))"
207,191,"(339, 202)","((332, 196), (349, 210))"
208,54,"(550, 198)","((546, 196), (556, 203))"
209,13,"(771, 199)","((769, 198), (774, 201))"
210,353,"(538, 212)","((527, 201), (550, 223))"
211,464,"(69, 217)","((59, 203), (81, 234))"
212,424,"(877, 213)","((863, 203), (895, 225))"
213,127,"(588, 210)","((581, 205), (596, 217))"
214,61,"(196, 208)","((191, 206), (203, 213))"
215,47,"(254, 212)","((250, 209), (259, 216))"
216,280,"(484, 219)","((476, 209), (495, 230))"
217,16,"(615, 209)","((612, 208), (620, 211))"
218,51,"(167, 214)","((163, 211), (173, 218))"
219,93,"(330, 214)","((325, 210), (337, 220))"
220,212,"(432, 219)","((426, 210), (441, 230))"
221,8,"(685, 215)","((684, 215), (688, 217))"
222,27,"(206, 218)","((202, 217), (211, 221))"
223,87,"(250, 222)","((244, 219), (257, 228))"
224,53,"(557, 221)","((553, 218), (563, 226))"
225,24,"(961, 221)","((959, 219), (964, 224))"
226,764,"(631, 234)","((610, 221), (653, 248))"
227,223,"(359, 228)","((350, 222), (369, 236))"
228,46,"(119, 226)","((115, 225), (126, 230))"
229,62,"(455, 228)","((450, 225), (461, 232))"
230,8,"(949, 227)","((948, 227), (952, 229))"
231,92,"(338, 232)","((332, 228), (345, 238))"
232,234,"(171, 236)","((160, 230), (183, 245))"
233,51,"(718, 232)","((714, 230), (725, 237))"
234,210,"(458, 240)","((448, 235), (471, 247))"
235,160,"(595, 241)","((584, 235), (605, 251))"
236,1119,"(42, 261)","((27, 237), (63, 289))"
237,8,"(783, 237)","((782, 237), (786, 239))"
238,197,"(866, 244)","((858, 236), (876, 255))"
239,110,"(82, 245)","((76, 239), (92, 253))"
240,27,"(691, 241)","((688, 239), (695, 244))"
241,166,"(256, 247)","((249, 240), (265, 255))"
242,27,"(369, 244)","((367, 243), (374, 248))"
243,24,"(754, 247)","((752, 245), (758, 250))"
244,53,"(219, 250)","((215, 247), (225, 255))"
245,60,"(903, 249)","((896, 246), (910, 253))"
246,377,"(100, 256)","((88, 248), (112, 269))"
247,138,"(186, 256)","((180, 251), (198, 262))"
248,23,"(357, 253)","((354, 252), (361, 256))"
249,19,"(152, 255)","((150, 254), (156, 258))"
250,14,"(241, 256)","((239, 255), (245, 258))"
251,13,"(309, 256)","((307, 255), (312, 258))"
252,177,"(535, 263)","((529, 254), (542, 272))"
253,63,"(737, 258)","((733, 255), (743, 263))"
254,8,"(782, 256)","((781, 256), (785, 258))"
255,36,"(848, 259)","((844, 257), (853, 262))"
256,33,"(167, 262)","((164, 260), (171, 266))"
257,13,"(889, 261)","((887, 260), (892, 263))"
258,8,"(503, 262)","((502, 262), (506, 264))"
259,24,"(747, 263)","((744, 262), (753, 266))"
260,36,"(386, 266)","((383, 264), (391, 270))"
261,38,"(244, 269)","((240, 267), (250, 272))"
262,53,"(220, 272)","((216, 269), (226, 277))"
