id,area,centroid,rectangle
123,8,"(176, 33)","((176, 32), (178, 36))"
124,8,"(188, 34)","((188, 33), (190, 37))"
125,8,"(194, 34)","((194, 33), (196, 37))"
126,12,"(212, 35)","((212, 33), (214, 39))"
127,6,"(227, 33)","((227, 32), (229, 35))"
128,10,"(233, 35)","((233, 33), (235, 38))"
129,20,"(47, 39)","((47, 35), (49, 45))"
130,6,"(107, 36)","((107, 35), (109, 38))"
131,8,"(143, 36)","((143, 35), (145, 39))"
132,4,"(155, 35)","((155, 35), (157, 37))"
133,14,"(170, 37)","((170, 34), (172, 41))"
134,40,"(203, 44)","((203, 35), (205, 55))"
135,8,"(206, 36)","((206, 35), (208, 39))"
136,6,"(209, 36)","((209, 35), (211, 38))"
137,8,"(2, 38)","((2, 37), (4, 41))"
138,12,"(44, 38)","((44, 36), (46, 42))"
139,4,"(50, 37)","((50, 37), (52, 39))"
140,24,"(53, 42)","((53, 37), (55, 49))"
141,10,"(62, 39)","((62, 37), (64, 42))"
142,18,"(92, 40)","((92, 36), (94, 45))"
143,16,"(95, 40)","((95, 37), (97, 45))"
144,16,"(116, 40)","((116, 37), (118, 45))"
145,4,"(131, 36)","((131, 36), (133, 38))"
146,4,"(146, 37)","((146, 37), (148, 39))"
147,10,"(98, 41)","((98, 39), (100, 44))"
148,8,"(119, 39)","((119, 38), (121, 42))"
149,12,"(149, 41)","((149, 39), (151, 45))"
150,8,"(194, 40)","((194, 39), (196, 43))"
151,46,"(209, 50)","((209, 39), (211, 62))"
152,18,"(221, 43)","((221, 39), (223, 48))"
153,4,"(14, 41)","((14, 41), (16, 43))"
154,4,"(17, 41)","((17, 41), (19, 43))"
155,12,"(50, 42)","((50, 40), (52, 46))"
156,6,"(89, 42)","((89, 41), (91, 44))"
157,12,"(107, 42)","((107, 40), (109, 46))"
158,4,"(113, 40)","((113, 40), (115, 42))"
159,10,"(137, 42)","((137, 40), (139, 45))"
160,8,"(140, 42)","((140, 41), (142, 45))"
