id,area,centroid,rectangle
123,143,"(24, 80)","((16, 75), (34, 86))"
124,8,"(151, 74)","((150, 74), (154, 76))"
125,56,"(272, 78)","((268, 75), (277, 83))"
126,8,"(372, 75)","((371, 75), (375, 77))"
127,58,"(153, 81)","((150, 77), (159, 86))"
128,476,"(401, 88)","((385, 76), (418, 103))"
129,14,"(954, 77)","((952, 76), (958, 79))"
130,144,"(52, 85)","((47, 79), (62, 93))"
131,47,"(599, 83)","((596, 79), (604, 88))"
132,14,"(790, 79)","((788, 78), (794, 81))"
133,8,"(117, 81)","((116, 81), (120, 83))"
134,31,"(132, 82)","((129, 80), (136, 86))"
135,114,"(456, 85)","((449, 81), (464, 91))"
136,149,"(675, 87)","((668, 81), (687, 94))"
137,263,"(917, 88)","((905, 80), (931, 97))"
138,19,"(200, 83)","((198, 82), (204, 86))"
139,22,"(690, 83)","((688, 82), (694, 87))"
140,133,"(114, 89)","((108, 84), (122, 96))"
141,37,"(337, 86)","((334, 84), (342, 90))"
142,186,"(489, 90)","((480, 84), (499, 98))"
143,8,"(654, 84)","((653, 84), (657, 86))"
144,51,"(747, 88)","((743, 85), (753, 93))"
145,13,"(774, 85)","((772, 84), (777, 87))"
146,8,"(804, 84)","((803, 84), (807, 86))"
147,4,"(962, 84)","((962, 84), (964, 86))"
148,117,"(469, 93)","((462, 87), (477, 101))"
149,8,"(657, 87)","((656, 87), (660, 89))"
150,108,"(262, 92)","((256, 88), (271, 99))"
151,8,"(388, 89)","((387, 89), (391, 91))"
152,8,"(689, 88)","((688, 88), (692, 90))"
153,58,"(873, 92)","((868, 88), (879, 98))"
154,105,"(229, 95)","((223, 91), (237, 101))"
155,16,"(533, 91)","((531, 90), (537, 94))"
156,230,"(685, 103)","((673, 91), (697, 113))"
157,8,"(812, 91)","((811, 91), (815, 93))"
158,72,"(829, 95)","((823, 91), (837, 101))"
159,58,"(101, 96)","((97, 92), (107, 101))"
160,22,"(536, 95)","((534, 93), (540, 98))"
161,166,"(731, 99)","((723, 93), (739, 107))"
162,64,"(774, 97)","((770, 93), (781, 102))"
163,89,"(960, 100)","((957, 92), (964, 111))"
164,8,"(563, 94)","((562, 94), (566, 96))"
165,8,"(940, 95)","((939, 95), (943, 97))"
166,8,"(949, 95)","((948, 95), (952, 97))"
167,8,"(180, 96)","((179, 96), (183, 98))"
168,55,"(205, 101)","((202, 98), (211, 107))"
169,44,"(303, 102)","((299, 99), (308, 106))"
170,116,"(751, 106)","((744, 99), (757, 114))"
171,8,"(799, 98)","((798, 98), (802, 100))"
172,336,"(500, 109)","((486, 101), (514, 120))"
173,19,"(591, 101)","((589, 100), (595, 104))"
174,35,"(835, 105)","((832, 102), (840, 109))"
175,268,"(366, 111)","((349, 105), (384, 118))"
176,14,"(427, 106)","((425, 105), (431, 108))"
177,8,"(514, 104)","((513, 104), (517, 106))"
178,165,"(263, 115)","((257, 107), (271, 123))"
179,8,"(560, 106)","((559, 106), (563, 108))"
180,51,"(763, 109)","((758, 106), (770, 113))"
181,8,"(890, 106)","((889, 106), (893, 108))"
182,6,"(1, 108)","((0, 108), (3, 110))"
183,43,"(236, 111)","((231, 109), (242, 116))"
184,590,"(294, 126)","((277, 108), (314, 145))"
185,59,"(467, 113)","((464, 109), (473, 118))"
186,14,"(940, 109)","((938, 108), (944, 111))"
187,312,"(135, 124)","((126, 111), (144, 137))"
188,8,"(534, 111)","((533, 111), (537, 113))"
189,18,"(604, 111)","((602, 110), (609, 113))"
190,8,"(649, 110)","((648, 110), (652, 112))"
191,115,"(529, 118)","((524, 112), (537, 125))"
192,8,"(896, 112)","((895, 112), (899, 114))"
193,41,"(11, 118)","((8, 115), (16, 122))"
194,187,"(328, 121)","((320, 114), (337, 130))"
195,8,"(803, 115)","((802, 115), (806, 117))"
196,122,"(820, 120)","((814, 115), (829, 128))"
