id,area,centroid,rectangle
123,247,"(137, 143)","((126, 137), (150, 153))"
124,54,"(866, 139)","((862, 136), (872, 143))"
125,8,"(916, 137)","((915, 137), (919, 139))"
126,192,"(281, 145)","((274, 139), (290, 154))"
127,89,"(60, 145)","((54, 141), (68, 150))"
128,61,"(678, 142)","((673, 140), (686, 146))"
129,13,"(397, 144)","((395, 143), (400, 146))"
130,27,"(415, 144)","((413, 143), (420, 148))"
131,8,"(171, 144)","((170, 144), (174, 146))"
132,58,"(253, 147)","((248, 144), (260, 152))"
133,486,"(226, 155)","((211, 146), (243, 166))"
134,8,"(293, 148)","((292, 148), (296, 150))"
135,22,"(620, 150)","((617, 149), (624, 153))"
136,393,"(909, 158)","((896, 149), (924, 174))"
137,44,"(774, 152)","((771, 150), (779, 157))"
138,32,"(958, 152)","((955, 151), (963, 156))"
139,88,"(155, 158)","((150, 153), (161, 164))"
140,139,"(320, 159)","((313, 152), (329, 167))"
141,24,"(432, 155)","((430, 153), (436, 158))"
142,8,"(535, 152)","((534, 152), (538, 154))"
143,8,"(637, 152)","((636, 152), (640, 154))"
144,94,"(266, 159)","((260, 155), (274, 164))"
145,65,"(612, 157)","((606, 154), (621, 162))"
146,61,"(440, 160)","((435, 157), (446, 165))"
147,50,"(803, 159)","((798, 157), (810, 163))"
148,109,"(132, 162)","((126, 158), (140, 168))"
149,13,"(96, 163)","((94, 162), (99, 165))"
150,35,"(110, 164)","((106, 162), (117, 168))"
151,13,"(375, 163)","((373, 162), (378, 165))"
152,106,"(729, 168)","((725, 162), (737, 178))"
153,8,"(22, 164)","((21, 164), (25, 166))"
154,111,"(182, 169)","((177, 164), (190, 176))"
155,142,"(340, 170)","((333, 165), (348, 177))"
156,13,"(651, 166)","((649, 165), (654, 168))"
157,8,"(874, 164)","((873, 164), (877, 166))"
158,14,"(107, 168)","((105, 167), (111, 170))"
159,102,"(278, 171)","((272, 167), (289, 176))"
160,253,"(448, 174)","((440, 166), (460, 184))"
161,55,"(203, 171)","((198, 169), (210, 176))"
162,24,"(827, 171)","((825, 169), (831, 174))"
163,58,"(942, 171)","((938, 168), (948, 175))"
164,192,"(230, 178)","((222, 171), (240, 186))"
165,8,"(543, 171)","((542, 171), (546, 173))"
166,39,"(776, 173)","((772, 171), (781, 176))"
167,27,"(841, 172)","((838, 170), (845, 175))"
168,14,"(27, 173)","((25, 172), (31, 175))"
169,52,"(661, 175)","((657, 172), (666, 180))"
170,19,"(686, 174)","((684, 173), (690, 177))"
171,75,"(145, 178)","((139, 174), (152, 186))"
172,86,"(306, 179)","((302, 175), (313, 184))"
173,173,"(814, 180)","((807, 174), (823, 189))"
174,251,"(874, 182)","((866, 174), (887, 194))"
175,112,"(530, 182)","((524, 178), (539, 188))"
176,112,"(556, 184)","((550, 179), (564, 191))"
177,294,"(495, 189)","((481, 181), (513, 202))"
178,256,"(711, 189)","((698, 181), (722, 197))"
179,144,"(746, 188)","((738, 181), (754, 195))"
180,503,"(782, 196)","((768, 183), (798, 210))"
181,27,"(912, 185)","((909, 183), (916, 188))"
182,42,"(404, 187)","((401, 184), (409, 191))"
183,23,"(396, 187)","((393, 186), (400, 190))"
184,75,"(449, 192)","((445, 186), (456, 198))"
185,80,"(246, 194)","((242, 189), (252, 200))"
186,36,"(219, 193)","((215, 191), (224, 197))"
187,87,"(823, 195)","((818, 191), (831, 200))"
188,69,"(645, 195)","((641, 192), (652, 200))"
189,41,"(418, 197)","((415, 195), (423, 202))"
190,8,"(669, 195)","((668, 195), (672, 197))"
191,174,"(10, 203)","((0, 197), (22, 210))"
192,13,"(437, 197)","((435, 196), (440, 199))"
193,206,"(562, 204)","((554, 197), (572, 214))"
194,29,"(900, 199)","((898, 197), (904, 203))"
195,8,"(273, 198)","((272, 198), (276, 200))"
196,69,"(287, 202)","((283, 199), (294, 207))"
197,8,"(458, 199)","((457, 199), (461, 201))"
198,208,"(666, 206)","((659, 198), (675, 216))"
199,130,"(130, 206)","((123, 200), (140, 212))"
200,8,"(133, 200)","((132, 200), (136, 202))"
201,65,"(232, 204)","((227, 201), (238, 210))"
202,8,"(922, 200)","((921, 200), (925, 202))"
203,35,"(692, 206)","((689, 203), (696, 210))"
204,545,"(853, 211)","((835, 202), (878, 224))"
205,8,"(916, 203)","((915, 203), (919, 205))"
206,192,"(340, 209)","((327, 204), (353, 214))"
207,8,"(380, 205)","((379, 205), (383, 207))"
208,8,"(597, 204)","((596, 204), (600, 206))"
209,178,"(73, 213)","((66, 206), (84, 221))"
210,89,"(812, 211)","((808, 206), (818, 219))"
211,84,"(598, 212)","((591, 208), (606, 218))"
212,35,"(98, 211)","((94, 210), (104, 215))"
213,8,"(713, 211)","((712, 211), (716, 213))"
214,8,"(180, 213)","((179, 213), (183, 215))"
215,31,"(641, 214)","((638, 213), (647, 217))"
216,22,"(772, 214)","((769, 213), (776, 217))"
217,97,"(16, 218)","((12, 214), (25, 226))"
218,132,"(380, 219)","((371, 215), (388, 227))"
219,8,"(99, 216)","((98, 216), (102, 218))"
220,84,"(395, 220)","((390, 217), (402, 225))"
221,8,"(593, 217)","((592, 217), (596, 219))"
222,1399,"(774, 236)","((747, 217), (804, 264))"
223,185,"(60, 228)","((54, 219), (69, 237))"
224,269,"(198, 229)","((186, 221), (211, 238))"
225,8,"(149, 223)","((148, 223), (152, 225))"
226,57,"(339, 225)","((335, 222), (344, 230))"
227,134,"(533, 230)","((526, 223), (542, 239))"
228,40,"(901, 225)","((897, 223), (906, 229))"
229,8,"(421, 224)","((420, 224), (424, 226))"
230,18,"(653, 226)","((651, 225), (657, 229))"
231,8,"(846, 225)","((845, 225), (849, 227))"
232,8,"(868, 224)","((867, 224), (871, 226))"
233,18,"(246, 228)","((244, 227), (250, 231))"
234,59,"(299, 229)","((294, 227), (305, 234))"
235,35,"(365, 230)","((362, 227), (369, 234))"
236,32,"(737, 228)","((735, 226), (742, 232))"
237,261,"(38, 235)","((28, 228), (50, 244))"
238,27,"(222, 229)","((220, 228), (227, 233))"
239,69,"(552, 232)","((548, 229), (559, 237))"
240,61,"(691, 231)","((686, 228), (697, 235))"
241,8,"(846, 228)","((845, 228), (849, 230))"
242,28,"(263, 232)","((260, 231), (268, 235))"
243,224,"(576, 239)","((566, 231), (588, 248))"
244,198,"(867, 235)","((858, 230), (879, 242))"
245,54,"(946, 233)","((942, 230), (952, 237))"
246,28,"(246, 233)","((243, 232), (251, 237))"
247,74,"(418, 236)","((413, 233), (425, 241))"
248,1056,"(899, 269)","((879, 233), (920, 302))"
249,111,"(173, 239)","((168, 234), (180, 246))"
250,8,"(237, 237)","((236, 237), (240, 239))"
251,40,"(286, 240)","((283, 237), (290, 245))"
252,90,"(215, 243)","((209, 239), (222, 248))"
253,116,"(262, 244)","((257, 238), (269, 251))"
254,398,"(156, 251)","((143, 240), (169, 262))"
255,256,"(403, 249)","((391, 241), (416, 260))"
256,8,"(83, 244)","((82, 244), (86, 246))"
257,27,"(368, 245)","((364, 244), (373, 248))"
258,352,"(645, 254)","((633, 245), (661, 266))"
259,132,"(725, 250)","((720, 244), (733, 258))"
260,272,"(935, 254)","((926, 246), (945, 264))"
261,148,"(957, 252)","((950, 246), (964, 259))"
262,31,"(444, 250)","((440, 248), (449, 253))"
263,39,"(859, 251)","((855, 249), (864, 254))"
264,104,"(6, 256)","((2, 251), (13, 264))"
265,110,"(351, 255)","((345, 250), (358, 263))"
266,27,"(699, 253)","((696, 251), (704, 256))"
267,22,"(361, 253)","((358, 252), (365, 256))"
268,716,"(676, 272)","((661, 252), (695, 287))"
269,190,"(98, 261)","((90, 255), (109, 269))"
270,8,"(610, 254)","((609, 254), (613, 256))"
271,8,"(853, 257)","((852, 257), (856, 259))"
272,16,"(45, 260)","((43, 259), (48, 263))"
273,13,"(174, 259)","((172, 258), (177, 261))"
274,219,"(818, 265)","((808, 258), (829, 275))"
275,46,"(563, 263)","((560, 260), (568, 268))"
276,159,"(487, 268)","((480, 262), (496, 276))"
277,117,"(599, 268)","((593, 263), (607, 276))"
278,13,"(922, 264)","((920, 263), (925, 266))"
279,365,"(58, 273)","((45, 265), (72, 285))"
280,23,"(317, 266)","((314, 265), (321, 269))"
281,71,"(365, 270)","((360, 267), (372, 276))"
282,571,"(245, 281)","((231, 269), (265, 294))"
283,43,"(569, 270)","((566, 268), (575, 274))"
284,8,"(635, 268)","((634, 268), (638, 270))"
285,29,"(867, 269)","((863, 268), (874, 272))"
286,442,"(930, 280)","((918, 268), (943, 297))"
287,132,"(407, 276)","((401, 270), (415, 284))"
288,128,"(532, 275)","((526, 270), (541, 281))"
289,201,"(880, 278)","((871, 273), (892, 285))"
290,102,"(179, 280)","((175, 274), (186, 288))"
291,109,"(576, 280)","((567, 274), (584, 287))"
292,116,"(647, 280)","((641, 274), (655, 287))"
293,698,"(345, 290)","((330, 278), (363, 304))"
294,8,"(436, 278)","((435, 278), (439, 280))"
295,80,"(765, 281)","((759, 278), (772, 287))"
